q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fz_foot
-0.130804,-0.31882,0.009559,3.158276,2.962214,-5.844834,0
-0.131275,-0.310915,0.009638,3.156527,2.96158,-5.847097,0
-0.131498,-0.3023,0.009805,3.164812,3.014137,-5.813172,0
-0.132508,-0.310767,0.009814,3.163567,2.979542,-5.850611,0
-0.133036,-0.310101,0.009909,3.16744,2.99103,-5.853088,0
-0.133504,-0.313268,0.010012,3.186528,3.071769,-5.817745,0
-0.134031,-0.312796,0.010133,3.197178,3.114265,-5.803608,0
-0.134729,-0.297233,0.010235,3.206955,3.183822,-5.765735,0
-0.135193,-0.292405,0.010337,3.210632,3.203751,-5.758309,0
-0.135657,-0.288296,0.010413,3.213283,3.217988,-5.753772,0
-0.136119,-0.292066,0.010514,3.212401,3.19929,-5.770991,0
-0.136581,-0.285846,0.01059,3.200866,3.147221,-5.799462,0
-0.137041,-0.274059,0.010665,3.208709,3.200133,-5.772427,0
-0.137439,-0.256995,0.010773,3.218596,3.274687,-5.728951,0
-0.137837,-0.264472,0.010855,3.214622,3.235365,-5.756142,0
-0.138233,-0.261329,0.010937,3.216184,3.241276,-5.757347,0
-0.138628,-0.264923,0.011043,3.211595,3.205816,-5.781126,0
-0.139021,-0.242105,0.011125,3.216515,3.267086,-5.741296,0
-0.139412,-0.237993,0.01118,3.208129,3.226289,-5.766868,0
-0.139742,-0.225568,0.011293,3.211499,3.260554,-5.744672,0
-0.140071,-0.225561,0.011356,3.219843,3.29499,-5.73145,0
-0.140662,-0.197201,0.011574,3.221768,3.347384,-5.695123,0
-0.140985,-0.192019,0.011624,3.224378,3.364187,-5.686894,0
-0.141246,-0.20147,0.011693,3.211139,3.274894,-5.742786,0
-0.141506,-0.186017,0.011786,3.213569,3.311234,-5.717433,0
-0.141763,-0.191196,0.011854,3.202343,3.241653,-5.758892,0
-0.142211,-0.173749,0.011996,3.200593,3.255801,-5.747187,0
-0.142402,-0.164658,0.01207,3.196074,3.246152,-5.749731,0
-0.14259,-0.141881,0.012144,3.206076,3.334251,-5.693534,0
-0.142777,-0.154086,0.012217,3.196135,3.257398,-5.742442,0
-0.142961,-0.148334,0.01229,3.193269,3.249304,-5.745521,0
-0.143143,-0.140026,0.012363,3.202968,3.307708,-5.712721,0
-0.143499,-0.132012,0.012482,3.214423,3.362899,-5.685117,0
-0.143613,-0.134823,0.01256,3.208204,3.321558,-5.70896,0
-0.143785,-0.126518,0.012631,3.214706,3.364686,-5.68334,0
-0.143954,-0.130515,0.012702,3.211026,3.334255,-5.703262,0
-0.143562,-0.144214,0.012902,3.179341,3.154185,-5.791645,0
-0.144385,-0.135435,0.012919,3.198018,3.249398,-5.751143,0
-0.144543,-0.143016,0.012963,3.201621,3.245923,-5.762482,0
-0.144699,-0.13947,0.013032,3.203952,3.259331,-5.755389,0
-0.144851,-0.139205,0.013101,3.214795,3.307688,-5.731852,0
-0.145001,-0.140627,0.013193,3.218113,3.316021,-5.730318,0
-0.145207,-0.139384,0.013254,3.230214,3.372273,-5.701735,0
-0.14535,-0.147997,0.013321,3.221127,3.306487,-5.742782,0
-0.145551,-0.148173,0.013406,3.21315,3.263031,-5.765763,0
-0.145748,-0.153703,0.013466,3.208062,3.222007,-5.793224,0
-0.145942,-0.159506,0.013525,3.220268,3.264469,-5.7767,0
-0.146133,-0.159538,0.013609,3.214739,3.233027,-5.793642,0
-0.14638,-0.158167,0.013661,3.211725,3.214902,-5.806319,0
-0.146564,-0.157691,0.013719,3.204467,3.175734,-5.828157,0
-0.146805,-0.17004,0.01377,3.206116,3.153896,-5.848939,0
-0.146982,-0.169449,0.013828,3.209678,3.167196,-5.843546,0
-0.147215,-0.154405,0.013903,3.215833,3.221517,-5.807812,0
-0.147446,-0.16932,0.013954,3.204664,3.132732,-5.864703,0
-0.147672,-0.149377,0.014004,3.213907,3.211972,-5.812738,0
-0.147835,-0.15331,0.014061,3.206979,3.166399,-5.839005,0
-0.148054,-0.138699,0.014135,3.218343,3.244603,-5.792179,0
-0.148269,-0.140453,0.014184,3.206749,3.180316,-5.827707,0
-0.148421,-0.141238,0.01424,3.220657,3.240852,-5.798359,0
-0.148568,-0.123562,0.014319,3.226873,3.302701,-5.753324,0
-0.148772,-0.138471,0.014368,3.216229,3.215533,-5.81162,0
-0.148912,-0.135388,0.014423,3.223523,3.252708,-5.790187,0
-0.149048,-0.125635,0.014501,3.231498,3.306575,-5.755622,0
-0.14924,-0.121878,0.014549,3.230976,3.305874,-5.756744,0
-0.149367,-0.133309,0.014627,3.238544,3.314174,-5.761455,0
-0.149431,-0.10085,0.014687,3.243636,3.401147,-5.69339,0
-0.14955,-0.10038,0.014764,3.247405,3.415754,-5.685982,0
-0.149665,-0.098982,0.014841,3.25117,3.432239,-5.676933,0
-0.149762,-0.071041,0.014983,3.271998,3.581264,-5.580834,0
-0.149805,-0.077833,0.015065,3.27203,3.563711,-5.594194,0
-0.149842,-0.063427,0.015147,3.287478,3.663408,-5.532381,0
-0.149876,-0.066235,0.015253,3.288312,3.658311,-5.535308,0
-0.149904,-0.043359,0.015334,3.304871,3.781033,-5.45504,0
-0.149166,-0.040047,0.015601,3.307735,3.805999,-5.41782,0
-0.149843,-0.039279,0.015612,3.31735,3.840382,-5.415396,0
-0.149794,-0.026413,0.015721,3.324135,3.895452,-5.378488,0
-0.149799,-0.035337,0.015824,3.322515,3.865221,-5.400669,0
-0.14974,-0.029945,0.015933,3.332842,3.922524,-5.3661,0
-0.149677,-0.012199,0.016042,3.344445,4.011802,-5.305692,0
-0.149608,-0.012357,0.016149,3.345976,4.016579,-5.299925,0
-0.149534,-0.012761,0.016233,3.347578,4.020077,-5.297826,0
-0.149456,-0.001806,0.01634,3.351834,4.060957,-5.265651,0
-0.149359,-0.013896,0.016497,3.346536,4.006106,-5.300068,0
-0.149329,-0.001385,0.016573,3.3408,4.001586,-5.292541,0
-0.149233,0.000294,0.016655,3.317253,3.890299,-5.347078,0
-0.149132,-0.000893,0.016736,3.30385,3.821594,-5.381212,0
-0.149087,-0.002059,0.016788,3.295134,3.774616,-5.405285,0
-0.148975,-0.000256,0.016869,3.300351,3.800637,-5.388893,0
-0.148919,0.000176,0.016967,3.307517,3.83349,-5.36809,0
-0.148858,-0.006616,0.017041,3.315839,3.856189,-5.358982,0
-0.148731,0.005802,0.017144,3.326926,3.932603,-5.308409,0
-0.14872,0.001363,0.017211,3.331322,3.941526,-5.304233,0
-0.148643,0.003502,0.017307,3.33232,3.947897,-5.297894,0
-0.14856,-0.013735,0.01738,3.325186,3.875086,-5.345841,0
-0.148472,0.000414,0.017476,3.331002,3.930134,-5.304695,0
-0.148379,-0.007459,0.017548,3.331779,3.914212,-5.317596,0
-0.14834,-0.000882,0.017637,3.334224,3.936976,-5.29882,0
-0.148236,0.006288,0.017731,3.336372,3.960637,-5.277328,0
-0.148186,0.012122,0.01782,3.343729,4.004799,-5.249013,0
-0.14807,0.005736,0.017913,3.344274,3.991984,-5.256597,0
-0.147949,0.024694,0.018007,3.353916,4.076208,-5.195527,0
-0.147823,0.029174,0.0181,3.357042,4.098606,-5.177498,0
-0.14769,0.033191,0.018192,3.359468,4.116776,-5.161916,0
-0.147552,0.05218,0.018261,3.367674,4.1942,-5.105088,0
-0.147408,0.042434,0.01833,3.361151,4.140589,-5.137136,0
-0.147258,0.050572,0.018398,3.328549,4.002454,-5.198824,0
-0.147103,0.053614,0.018466,3.309552,3.91778,-5.236762,0
-0.146881,0.074548,0.018517,3.302129,3.927211,-5.211226,0
-0.146714,0.080009,0.018561,3.281028,3.838389,-5.248734,0
-0.146481,0.087467,0.018633,3.28005,3.849593,-5.231944,0
-0.145274,0.102087,0.018796,3.303671,4.002941,-5.112276,0
-0.145685,0.106737,0.018808,3.320196,4.081553,-5.077859,0
-0.145428,0.121939,0.018856,3.313448,4.080407,-5.067145,0
-0.145104,0.124675,0.018909,3.264502,3.856754,-5.174069,0
-0.144834,0.131645,0.018934,3.235359,3.735173,-5.225588,0
-0.144499,0.126425,0.018941,3.219314,3.648402,-5.270604,0
-0.144157,0.149518,0.01897,3.220897,3.707672,-5.214202,0
-0.143748,0.155031,0.019004,3.236063,3.79225,-5.159897,0
-0.143394,0.160409,0.019033,3.264199,3.937237,-5.074067,0
-0.143033,0.165646,0.019084,3.280396,4.025544,-5.018406,0
-0.142666,0.168108,0.019112,3.287429,4.06509,-4.98934,0
-0.142233,0.167988,0.019167,3.2878,4.068436,-4.980152,0
-0.141853,0.16948,0.019217,3.280832,4.039733,-4.988708,0
-0.141467,0.176557,0.019244,3.2506,3.915166,-5.040463,0
-0.140876,0.166053,0.01925,3.193442,3.62613,-5.190246,0
-0.140474,0.156903,0.019254,3.164817,3.473579,-5.27032,0
-0.140125,0.15532,0.019252,3.191384,3.595074,-5.203674,0
-0.13971,0.157629,0.019255,3.200675,3.645772,-5.167595,0
-0.139348,0.162292,0.019275,3.212405,3.71217,-5.122943,0
-0.13892,0.149973,0.0193,3.225108,3.74627,-5.107826,0
-0.138546,0.171847,0.019298,3.227892,3.809176,-5.0506,0
-0.138164,0.163378,0.019317,3.221371,3.76068,-5.07824,0
-0.137716,0.173958,0.019341,3.21984,3.779673,-5.050923,0
-0.137382,0.162723,0.019356,3.212013,3.718941,-5.08661,0
-0.13698,0.165883,0.019352,3.193183,3.640094,-5.117785,0
-0.136572,0.174432,0.01937,3.191015,3.651383,-5.09649,0
-0.136158,0.169979,0.019366,3.192996,3.652732,-5.092235,0
-0.135796,0.173935,0.019357,3.198648,3.689021,-5.064375,0
-0.135368,0.176025,0.019375,3.199517,3.700117,-5.048843,0
-0.134993,0.180028,0.019388,3.212716,3.772167,-5.000864,0
-0.134551,0.180499,0.019383,3.201111,3.721146,-5.020787,0
-0.134162,0.170991,0.019395,3.210613,3.745624,-5.009602,0
-0.133706,0.187688,0.019412,3.21196,3.791822,-4.963522,0
-0.133303,0.184341,0.019424,3.209488,3.774906,-4.967761,0
-0.132834,0.18927,0.019441,3.206509,3.77519,-4.954352,0
-0.132357,0.198403,0.019435,3.212753,3.827625,-4.910612,0
-0.131934,0.192985,0.019446,3.210848,3.808301,-4.919458,0
-0.131503,0.186134,0.019457,3.204964,3.767878,-4.939064,0
-0.130242,0.181433,0.019486,3.211328,3.799077,-4.900507,0
-0.130456,0.179511,0.01949,3.214031,3.801832,-4.90452,0
-0.130001,0.188401,0.019501,3.232036,3.906291,-4.838797,0
-0.129598,0.195372,0.019528,3.22207,3.878708,-4.837997,0
-0.129189,0.186935,0.019534,3.229161,3.893623,-4.832929,0
-0.128712,0.197498,0.019566,3.221858,3.887542,-4.816225,0
-0.128289,0.196903,0.019571,3.215612,3.860004,-4.822718,0
-0.127858,0.197941,0.019576,3.215684,3.865198,-4.811304,0
-0.12742,0.186839,0.019581,3.212436,3.826998,-4.834916,0
-0.126383,0.19714,0.019618,3.231192,3.942842,-4.746166,0
-0.125919,0.191786,0.019622,3.22787,3.917715,-4.757353,0
-0.125508,0.202561,0.019644,3.244325,4.020895,-4.684759,0
-0.12503,0.201876,0.01967,3.230634,3.959333,-4.709343,0
-0.124604,0.205269,0.019691,3.236943,3.998803,-4.67749,0
-0.124172,0.20673,0.01969,3.227852,3.956434,-4.687773,0
-0.123791,0.198452,0.019707,3.212156,3.840841,-4.734274,0
-0.123344,0.196924,0.019706,3.204312,3.778074,-4.745116,0
-0.122949,0.19382,0.019701,3.199396,3.724383,-4.757051,0
-0.122546,0.189343,0.019696,3.203205,3.708421,-4.748591,0
-0.122137,0.186334,0.019712,3.200702,3.666757,-4.750871,0
-0.121719,0.178023,0.019706,3.206627,3.651773,-4.746479,0
-0.121355,0.182051,0.019718,3.198979,3.603485,-4.746069,0
-0.120922,0.180134,0.019713,3.197821,3.571242,-4.744736,0
-0.120733,0.170484,0.01972,3.205362,3.569992,-4.731167,0
-0.120215,0.168406,0.01971,3.184451,3.439004,-4.784685,0
-0.11982,0.161337,0.019722,3.193575,3.442518,-4.768494,0
-0.119478,0.165914,0.019708,3.198222,3.453099,-4.7398,0
-0.119188,0.153414,0.019712,3.179994,3.319338,-4.802715,0
-0.118831,0.150187,0.019698,3.198393,3.37482,-4.758824,0
-0.118525,0.142876,0.019701,3.183526,3.269244,-4.801031,0
-0.118213,0.152115,0.019704,3.201044,3.349843,-4.731439,0
-0.117892,0.139872,0.019686,3.199244,3.292873,-4.755301,0
-0.117624,0.142674,0.019686,3.193836,3.25437,-4.754646,0
-0.117349,0.131708,0.019685,3.202463,3.247932,-4.750914,0
-0.117066,0.130087,0.019706,3.205466,3.237506,-4.739069,0
-0.116774,0.116309,0.019706,3.205213,3.184212,-4.763166,0
-0.115868,0.106955,0.019724,3.213006,3.160336,-4.74065,0
-0.116035,0.113497,0.019736,3.219437,3.183899,-4.712123,0
-0.115773,0.102271,0.019753,3.218894,3.135227,-4.732642,0
-0.115564,0.10716,0.019766,3.230482,3.180129,-4.687712,0
-0.115346,0.108807,0.019779,3.241464,3.21481,-4.651517,0
-0.115121,0.11034,0.019793,3.245344,3.216869,-4.633268,0
