q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fx_foot,Fy_foot,Fz_foot,HR_q,HP_q,KP_q,HR_qdot,HP_qdot,KP_qdot,HR_q_d,HP_q_d,KP_q_d,HR_qdot_d,HP_qdot_d,KP_qdot_d,x,y,z,x_d,y_d,z_d
-0.00211,-0.0954514,-4.2E-05,2.81958,2.59163,-4.01733,-0.1,-1.3,0,0.000180468,1.82375,-1.41382,0.00174453,0.0108883,-0.0375976,0,1.8244,-1.41593,4.08E-07,0.0456673,-0.133049,-0.444767,0.100034,-0.187784,-0.444332,0.1,-0.187826
-0.00218,-0.0982534,-3.3E-05,2.81976,2.61873,-4.02421,-0.1,-1.3,0,0.000180468,1.82375,-1.41388,0.00168437,0.0109484,-0.0375976,0,1.82445,-1.41606,4.16E-07,0.0466262,-0.135851,-0.444751,0.100034,-0.187793,-0.444305,0.1,-0.187826
-0.00226,-0.0997912,-2.4E-05,2.82092,2.65327,-4.02695,-0.1,-1.3,0,0.000180468,1.82375,-1.41394,0.00168437,0.0108883,-0.0388608,0,1.8245,-1.4162,4.25E-07,0.0475843,-0.138652,-0.444735,0.100034,-0.187801,-0.444278,0.1,-0.187825
-0.00234,-0.1005448,-1.5E-05,2.82255,2.69117,-4.02774,-0.1,-1.3,0,0.000180468,1.82375,-1.414,0.00162421,0.0108883,-0.0409062,0,1.82454,-1.41634,4.33E-07,0.0485417,-0.141451,-0.444719,0.100034,-0.18781,-0.44425,0.1,-0.187825
-0.00248,-0.0977553,-1.4E-05,2.82632,2.74569,-4.01949,-0.1,-1.3,0,0.000180468,1.82375,-1.414,0.00156406,0.0108883,-0.0465007,0,1.82459,-1.41648,4.42E-07,0.0495043,-0.144256,-0.444719,0.100034,-0.18781,-0.444221,0.1,-0.187824
-0.00257,-0.100792,-5E-06,2.82758,2.7626,-4.02387,-0.1,-1.3,0,0.000180468,1.82375,-1.41406,0.0015039,0.0102867,-0.04626,0,1.82464,-1.41663,4.51E-07,0.0504604,-0.147052,-0.444703,0.100034,-0.187819,-0.444192,0.1,-0.187824
-0.00265,-0.1076174,5E-06,2.82822,2.75367,-4.03435,-0.1,-1.3,0,0.000180468,1.82375,-1.41412,0.0015039,0.00872264,-0.0422296,0,1.82469,-1.41677,4.59E-07,0.0514158,-0.149847,-0.444687,0.100034,-0.187828,-0.444163,0.1,-0.187823
-0.00275,-0.1151016,1.4E-05,2.82759,2.73683,-4.04912,-0.1,-1.3,0,0.000180468,1.82375,-1.41418,0.00144375,0.00763983,-0.0375374,0,1.82474,-1.41693,4.68E-07,0.0523705,-0.152639,-0.444671,0.100034,-0.187837,-0.444132,0.1,-0.187823
-0.0029,-0.1052076,1.5E-05,2.83755,2.8036,-4.01621,-0.1,-1.3,0,0.000180468,1.82375,-1.41418,0.00144375,0.00673748,-0.0502304,0,1.8248,-1.41708,4.76E-07,0.0533307,-0.155438,-0.444671,0.100034,-0.187837,-0.444102,0.1,-0.187822
-0.003,-0.1073951,2.4E-05,2.83946,2.80881,-4.01798,-0.1,-1.3,0,0.000180468,1.82375,-1.41424,0.00138359,0.00607577,-0.0508319,0,1.82485,-1.41724,4.85E-07,0.054284,-0.158227,-0.444655,0.100034,-0.187846,-0.44407,0.1,-0.187822
-0.0031,-0.1113852,3.4E-05,2.84017,2.80468,-4.02525,-0.1,-1.3,0,0.000180468,1.82375,-1.4143,0.00132343,0.00547421,-0.0496288,0,1.8249,-1.4174,4.93E-07,0.0552365,-0.161014,-0.444639,0.100034,-0.187855,-0.444038,0.1,-0.187821
-0.0032,-0.117179,4.3E-05,2.83927,2.78961,-4.03864,-0.1,-1.3,0,0.000180468,1.82375,-1.41436,0.00132343,0.00505311,-0.046621,0,1.82496,-1.41756,5.02E-07,0.0561883,-0.1638,-0.444623,0.100034,-0.187864,-0.444006,0.1,-0.187821
-0.00336,-0.1253851,4.4E-05,2.83678,2.7614,-4.05999,0,0,0,0.000180468,1.82375,-1.41436,0.00126328,0.00463202,-0.0412069,0,1.82502,-1.41772,5.11E-07,0.057146,-0.166592,-0.444623,0.100034,-0.187864,-0.443973,0.1,-0.18782
-0.00347,-0.1193231,5.3E-05,2.8432,2.80404,-4.04014,0,0,0,0.000180468,1.82375,-1.41442,0.00126328,0.00433124,-0.0500499,0,1.82507,-1.41789,5.19E-07,0.0580963,-0.169373,-0.444608,0.100034,-0.187873,-0.443939,0.1,-0.18782
-0.00358,-0.1145836,6.3E-05,2.84883,2.8403,-4.02409,0,0,0,0.000180468,1.82375,-1.41448,0.00126328,0.00403046,-0.0575694,0,1.82513,-1.41806,5.28E-07,0.0590458,-0.172153,-0.444592,0.100034,-0.187882,-0.443905,0.1,-0.187819
-0.00369,-0.117903,7.2E-05,2.84926,2.83581,-4.0314,0,0,0,0.000180468,1.82375,-1.41454,0.00120312,0.00378983,-0.057028,0,1.82519,-1.41823,5.36E-07,0.0599944,-0.174931,-0.444576,0.100034,-0.187891,-0.443871,0.1,-0.187819
-0.00381,-0.1265132,8.2E-05,2.8462,2.80479,-4.05391,0,0,0,0.000180468,1.82375,-1.4146,0.00120312,0.00354921,-0.0511928,0,1.82525,-1.41841,5.45E-07,0.0609423,-0.177706,-0.44456,0.100034,-0.1879,-0.443835,0.1,-0.187818
-0.00393,-0.1195419,9.2E-05,2.85322,2.85157,-4.03184,0,0,0,0.000180468,1.82375,-1.41466,0.00114297,0.00330859,-0.0609381,0,1.82531,-1.41859,5.53E-07,0.0618893,-0.18048,-0.444544,0.100034,-0.187909,-0.4438,0.1,-0.187817
-0.00405,-0.1121475,0.000101,2.86031,2.89971,-4.00893,0,0,0,0.000180468,1.82375,-1.41472,0.00114297,0.00312812,-0.0711045,0,1.82538,-1.41877,5.62E-07,0.0628355,-0.183252,-0.444528,0.100034,-0.187918,-0.443763,0.1,-0.187817
-0.00417,-0.1231579,0.000111,2.85547,2.85547,-4.039,0,0,0,0.000180468,1.82375,-1.41478,0.00114297,0.00300781,-0.0628631,0,1.82544,-1.41895,5.7E-07,0.0637808,-0.186021,-0.444512,0.100034,-0.187927,-0.443726,0.1,-0.187816
-0.00424,-0.1253745,0.000129,2.8566,2.85684,-4.04255,0,0,0,0.000180468,1.82375,-1.4149,0.00108281,0.00282734,-0.0634045,0,1.8255,-1.41914,5.79E-07,0.0647176,-0.188779,-0.44448,0.100034,-0.187945,-0.443689,0.1,-0.187816
-0.00437,-0.122966,0.000139,2.86044,2.87974,-4.0343,0,0,0,0.000180468,1.82375,-1.41496,0.00108281,0.00270702,-0.068578,0,1.82557,-1.41933,5.87E-07,0.0656611,-0.191544,-0.444465,0.100034,-0.187954,-0.443651,0.1,-0.187815
-0.0045,-0.1167056,0.000149,2.86675,2.92156,-4.01502,0,0,0,0.000180468,1.82375,-1.41502,0.00102265,0.00258671,-0.0776014,0,1.82563,-1.41952,5.95E-07,0.0666038,-0.194307,-0.444449,0.100034,-0.187963,-0.443612,0.1,-0.187814
-0.00464,-0.1247002,0.000158,2.86385,2.89225,-4.03659,0,0,0,0.000180468,1.82375,-1.41508,0.00102265,0.0024664,-0.0723678,0,1.8257,-1.41972,6.04E-07,0.0675455,-0.197068,-0.444433,0.100034,-0.187972,-0.443573,0.1,-0.187814
-0.00471,-0.120831,0.000177,2.86852,2.92248,-4.0235,0,0,0,0.000180468,1.82375,-1.4152,0.00102265,0.00240624,-0.078985,0,1.82577,-1.41991,6.12E-07,0.0684782,-0.199816,-0.444401,0.100034,-0.18799,-0.443534,0.1,-0.187813
-0.00486,-0.1192558,0.000186,2.87184,2.94118,-4.01777,0,0,0,0.000180468,1.82375,-1.41526,0.00102265,0.00228593,-0.0833162,0,1.82584,-1.42012,6.21E-07,0.0694181,-0.202572,-0.444385,0.100034,-0.187999,-0.443493,0.1,-0.187813
-0.005,-0.123634,0.000196,2.87121,2.92924,-4.02935,0,0,0,0.000180468,1.82375,-1.41532,0.000962498,0.00222578,-0.081692,0,1.8259,-1.42032,6.29E-07,0.070357,-0.205326,-0.444369,0.100034,-0.188008,-0.443453,0.1,-0.187812
-0.00508,-0.1206,0.000215,2.87545,2.95576,-4.01844,0,0,0,0.000180468,1.82375,-1.41544,0.000962498,0.00210546,-0.087467,0,1.82598,-1.42052,6.38E-07,0.0712866,-0.208067,-0.444337,0.100034,-0.188026,-0.443411,0.1,-0.187811
-0.00517,-0.120631,0.000233,2.87771,2.96679,-4.01665,0,0,0,0.000180468,1.82375,-1.41556,0.000962498,0.00204531,-0.090174,0,1.82605,-1.42073,6.46E-07,0.072215,-0.210805,-0.444306,0.100034,-0.188044,-0.443369,0.1,-0.187811
-0.00532,-0.1180241,0.000243,2.88165,2.98998,-4.00834,0,0,0,0.000180468,1.82375,-1.41562,0.000902342,0.00198515,-0.0955279,0,1.82612,-1.42094,6.54E-07,0.0731509,-0.213552,-0.44429,0.100034,-0.188053,-0.443327,0.1,-0.18781
-0.00542,-0.1194337,0.000262,2.88289,2.99353,-4.01055,0,0,0,0.000180468,1.82375,-1.41574,0.000902342,0.001925,-0.0968513,0,1.82619,-1.42116,6.63E-07,0.074077,-0.216285,-0.444258,0.100034,-0.188071,-0.443284,0.1,-0.187809
-0.00558,-0.117663,0.000271,2.88623,3.01251,-4.00475,0,0,0,0.000180468,1.82375,-1.4158,0.000902342,0.00186484,-0.101363,0,1.82627,-1.42138,6.71E-07,0.075011,-0.219026,-0.444242,0.100034,-0.18808,-0.44324,0.1,-0.187809
-0.00568,-0.11606,0.00029,2.88937,3.03096,-3.99839,0,0,0,0.000180468,1.82375,-1.41592,0.000902342,0.00180468,-0.105694,0,1.82634,-1.4216,6.8E-07,0.0759349,-0.221754,-0.44421,0.100034,-0.188098,-0.443196,0.1,-0.187808
-0.00578,-0.115777,0.000309,2.89183,3.04341,-3.99586,0,0,0,0.000180468,1.82375,-1.41604,0.000902342,0.00174453,-0.108702,0,1.82642,-1.42182,6.88E-07,0.0768576,-0.224479,-0.444178,0.100034,-0.188116,-0.443152,0.1,-0.187807
