q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fx_foot,Fy_foot,Fz_foot,HR_q,HP_q,KP_q,HR_qdot,HP_qdot,KP_qdot,HR_q_d,HP_q_d,KP_q_d,HR_qdot_d,HP_qdot_d,KP_qdot_d,x,y,z,x_d,y_d,z_d
0.380138,2.001869,-0.01719,2.41975,3.67856,8.48011,-12.6,7.3,79.1,0.00523358,1.81493,-1.28233,0.0432522,0.0573288,-0.311669,0.000245754,1.6287,-0.902192,-0.00679433,-0.59285,1.6902,-0.476626,0.100889,-0.169608,-0.528762,0.100046,-0.186798
0.382907,1.997507,-0.017131,2.45151,3.74732,8.45976,-12.6,7.3,73.1,0.00523358,1.81499,-1.28269,0.0239421,0.0618405,-0.330077,0.00023902,1.62772,-0.899783,-0.0067035,-0.584685,1.66743,-0.476548,0.100889,-0.169645,-0.529071,0.100045,-0.186776
0.385591,1.989154,-0.017085,2.46277,3.75691,8.44371,-12.9,7.4,73.1,0.00523358,1.81505,-1.28299,0.0172046,0.0681569,-0.344454,0.000232373,1.62675,-0.897399,-0.00661286,-0.576576,1.6447,-0.476485,0.100889,-0.16967,-0.529376,0.100043,-0.186755
0.38831,1.973733,-0.017026,2.4701,3.75413,8.43531,-12.9,7.4,73.1,0.00523358,1.81511,-1.28335,0.0134148,0.071285,-0.351913,0.000225815,1.62579,-0.89504,-0.00652158,-0.568383,1.62182,-0.476407,0.10089,-0.169707,-0.529677,0.100042,-0.186733
0.391003,1.941399,-0.016997,2.44584,3.56583,8.44553,-12.9,7.4,71.6,0.00523358,1.81523,-1.28371,0.0109484,0.0827147,-0.342469,0.000219345,1.62484,-0.892707,-0.00643116,-0.560232,1.59893,-0.476339,0.10089,-0.169715,-0.529974,0.100041,-0.186712
0.393671,1.920745,-0.016962,2.41291,3.31173,8.44285,-11.8,5.3,71.6,0.00517343,1.81535,-1.28407,0.00126328,0.107559,-0.344755,0.000212964,1.6239,-0.890399,-0.00634779,-0.552064,1.57599,-0.476272,0.100879,-0.169729,-0.530267,0.10004,-0.186691
0.396312,1.913285,-0.016935,2.37993,3.11363,8.42562,-11.8,5.3,71.6,0.00517343,1.81547,-1.28443,-0.00156406,0.132584,-0.360275,0.000206672,1.62296,-0.888118,-0.00625678,-0.543885,1.55301,-0.476204,0.100879,-0.169736,-0.530555,0.100039,-0.186671
0.398927,1.885172,-0.016936,2.34341,2.88151,8.43114,-11.8,5.3,71.6,0.00517343,1.81565,-1.28479,-0.00114297,0.149307,-0.355162,0.000200469,1.62204,-0.885863,-0.00616657,-0.535745,1.53001,-0.476147,0.100879,-0.169715,-0.53084,0.100037,-0.186651
0.401515,1.884329,-0.016936,2.2993,2.64673,8.4066,-9.8,2.5,71.6,0.00517343,1.81583,-1.28515,-0.00114297,0.180228,-0.377359,0.000194355,1.62113,-0.883635,-0.00607609,-0.527589,1.50697,-0.476089,0.100879,-0.169695,-0.53112,0.100036,-0.186631
0.404076,1.854813,-0.016937,2.27542,2.47618,8.41352,-9.8,2.5,71.6,0.00517343,1.81601,-1.28551,-0.00120312,0.190514,-0.370923,0.000188332,1.62023,-0.881434,-0.00598535,-0.519421,1.48389,-0.476032,0.100879,-0.169674,-0.531396,0.100035,-0.186611
