q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fz_foot
-0.119664,-0.301273,0.00796,3.184227,3.233585,-5.564266,1.5
-0.120166,-0.309504,0.008062,3.181629,3.199016,-5.592346,0
-0.120669,-0.304227,0.008164,3.186715,3.226777,-5.581836,0
-0.121172,-0.3083,0.008265,3.186233,3.210096,-5.598688,0
-0.121676,-0.305663,0.008366,3.18965,3.224796,-5.596115,0
-0.12218,-0.306481,0.008467,3.190863,3.222324,-5.604036,0
-0.122685,-0.318876,0.008567,3.185629,3.166952,-5.644846,0
-0.123189,-0.30868,0.008667,3.193016,3.21493,-5.621351,0
-0.123695,-0.312466,0.008767,3.192386,3.197876,-5.638183,0
-0.1242,-0.313091,0.008866,3.193625,3.195773,-5.645739,0
-0.124705,-0.31633,0.008966,3.193271,3.181008,-5.661093,0
-0.125211,-0.324108,0.009064,3.190477,3.145867,-5.689198,0
-0.125717,-0.316212,0.009163,3.195708,3.179567,-5.672752,0
-0.126222,-0.32218,0.009261,3.193791,3.152,-5.696035,0
-0.126788,-0.326893,0.009351,3.192901,3.130952,-5.71665,0
-0.127293,-0.319079,0.009448,3.198736,3.166723,-5.70059,0
-0.127798,-0.31803,0.009546,3.200055,3.168524,-5.703883,0
-0.128363,-0.313201,0.009635,3.204265,3.190134,-5.69758,0
-0.128867,-0.330193,0.009731,3.196351,3.112371,-5.752592,0
-0.129431,-0.314351,0.00982,3.206084,3.182096,-5.714542,0
-0.129675,-0.320658,0.010029,3.201268,3.142842,-5.734938,0
-0.130719,-0.318129,0.010055,3.205695,3.155946,-5.742327,0
-0.131221,-0.323245,0.01015,3.204849,3.134225,-5.763526,0
-0.131783,-0.312429,0.010238,3.212143,3.182095,-5.740291,0
-0.132283,-0.315796,0.010332,3.211614,3.165743,-5.75651,0
-0.132783,-0.298978,0.010426,3.22174,3.239567,-5.715274,0
-0.133282,-0.3024,0.01052,3.220875,3.221597,-5.731967,0
-0.13372,-0.303583,0.010622,3.220951,3.213235,-5.741121,0
-0.134217,-0.295271,0.010715,3.226208,3.247444,-5.724278,0
-0.134653,-0.291878,0.010816,3.229298,3.261869,-5.720414,0
-0.135087,-0.27943,0.010916,3.236935,3.315803,-5.690926,0
-0.135521,-0.272123,0.011016,3.241781,3.346398,-5.676166,0
-0.135953,-0.265928,0.011115,3.246106,3.372361,-5.664329,0
-0.136384,-0.270168,0.011215,3.244754,3.350785,-5.682634,0
-0.136814,-0.259218,0.011314,3.251431,3.397295,-5.657493,0
-0.137182,-0.252947,0.01142,3.255183,3.421503,-5.64487,0
-0.137609,-0.256973,0.011518,3.254491,3.403069,-5.662352,0
-0.137975,-0.250038,0.011623,3.259196,3.432588,-5.647883,0
-0.138339,-0.240485,0.011728,3.265071,3.47301,-5.625925,0
-0.138701,-0.21905,0.011833,3.276415,3.563572,-5.569949,0
-0.139001,-0.223591,0.011944,3.275101,3.542218,-5.587477,0
-0.13936,-0.209434,0.012048,3.284122,3.607114,-5.549667,0
-0.139657,-0.204858,0.012134,3.286514,3.620971,-5.544871,0
-0.139952,-0.209006,0.012245,3.283679,3.593636,-5.563666,0
-0.140245,-0.198025,0.012355,3.290015,3.639669,-5.537053,0
-0.140536,-0.193691,0.012464,3.292996,3.656564,-5.529189,0
-0.140765,-0.179961,0.012581,3.301126,3.71697,-5.493328,0
-0.140992,-0.179255,0.012697,3.30142,3.714907,-5.495214,0
-0.141278,-0.176395,0.012805,3.304102,3.727054,-5.491584,0
-0.1415,-0.177435,0.01292,3.304598,3.721738,-5.497964,0
-0.141721,-0.170083,0.013035,3.308298,3.749227,-5.480551,0
-0.142078,-0.17006,0.013203,3.31004,3.748602,-5.486416,0
-0.142292,-0.158905,0.013317,3.315561,3.792474,-5.458099,0
-0.142505,-0.160114,0.01343,3.315485,3.784289,-5.465441,1.5
-0.142715,-0.155038,0.013543,3.318635,3.804115,-5.454523,1.5
-0.142922,-0.165091,0.013655,3.314343,3.758089,-5.486613,1.5
-0.143127,-0.166093,0.013767,3.314443,3.751176,-5.493055,1.5
-0.142988,-0.162715,0.014053,3.31305,3.748387,-5.482803,1.5
-0.143787,-0.167645,0.014094,3.313494,3.728591,-5.508875,1.5
-0.144041,-0.165565,0.014198,3.317233,3.742868,-5.507661,1.5
-0.144233,-0.158665,0.014308,3.320577,3.767923,-5.491368,1.5
-0.144481,-0.167297,0.01441,3.317451,3.729385,-5.520136,1.5
-0.144727,-0.165554,0.014513,3.31872,3.73327,-5.519434,1.5
-0.14491,-0.159653,0.014621,3.321408,3.753253,-5.506186,1.5
-0.14515,-0.175299,0.014723,3.314785,3.683775,-5.555207,1.5
-0.145387,-0.17227,0.014824,3.316743,3.693608,-5.550481,1.5
-0.145796,-0.17782,0.014969,3.314294,3.661892,-5.573715,1.5
-0.146025,-0.181941,0.015069,3.312972,3.641418,-5.589376,1.5
-0.146251,-0.174063,0.015169,3.317084,3.671487,-5.57093,1.5
-0.146534,-0.171792,0.015262,3.318149,3.675345,-5.5696,1.5
-0.146753,-0.172583,0.015361,3.318272,3.66861,-5.575893,1.5
-0.147029,-0.169295,0.015453,3.319993,3.677751,-5.571062,1.5
-0.147302,-0.176928,0.015545,3.31721,3.642313,-5.598001,1.5
-0.147511,-0.182752,0.015643,3.314261,3.611239,-5.618544,0
-0.147776,-0.176857,0.015735,3.317173,3.631471,-5.606139,0
-0.148038,-0.171958,0.015825,3.320343,3.650202,-5.596845,0
-0.148297,-0.156626,0.015916,3.327564,3.710335,-5.557883,0
-0.148491,-0.169864,0.016013,3.321128,3.647464,-5.599467,0
-0.148742,-0.172406,0.016103,3.320728,3.634097,-5.611061,0
-0.14893,-0.149558,0.016199,3.330969,3.725202,-5.549316,0
-0.149113,-0.158266,0.016295,3.327052,3.683256,-5.578086,0
-0.149293,-0.143669,0.01639,3.333918,3.740953,-5.539872,0
-0.149468,-0.139092,0.016486,3.336265,3.756441,-5.53002,0
-0.1497,-0.138618,0.016574,3.336377,3.752527,-5.532965,0
-0.149868,-0.141209,0.016668,3.335405,3.737244,-5.544037,0
-0.149972,-0.124127,0.016769,3.342778,3.803699,-5.497616,0
-0.150131,-0.113494,0.016863,3.347572,3.843821,-5.470216,0
-0.150287,-0.10416,0.016956,3.352554,3.881431,-5.446777,0
-0.150378,-0.102344,0.017055,3.352823,3.882497,-5.444115,0
-0.150526,-0.101624,0.017148,3.353728,3.882976,-5.445192,0
-0.150609,-0.094044,0.017247,3.358495,3.917035,-5.422907,0
-0.150687,-0.09342,0.017345,3.359761,3.920069,-5.42096,0
-0.150761,-0.093192,0.017443,3.359919,3.916999,-5.422375,0
