q_err_KP,qdot_err_KP,Tor_HR,Tor_HP,Tor_KP,z_error,Fx_foot,Fy_foot,Fz_foot,IMU_Roll,IMU_Pitch,IMU_Yaw
-0.00614,-0.1600203,2.86738,2.83962,-4.11664,0.000277,0,0,0,0.00836062,0.0330235,-0.887984
-0.00631,-0.1482947,2.87704,2.90848,-4.08222,0.000288,0,0,0,0.00836062,0.0330235,-0.887984
-0.00647,-0.1607498,2.87137,2.85637,-4.11695,0.000298,0,0,0,0.00836062,0.0330235,-0.887984
-0.00658,-0.1620611,2.87281,2.86095,-4.11884,0.000318,0,0,0,0.00836062,0.0330235,-0.887984
-0.00676,-0.149365,2.88317,2.93491,-4.08173,0.000329,0,0,0,0.00836062,0.0330235,-0.887984
-0.00681,-0.1629311,2.87686,2.87899,-4.11769,0.000357,0,0,0,0.00836062,0.0330235,-0.887984
-0.00705,-0.1657021,2.87724,2.8742,-4.12624,0.000359,0,0,0,0.00836062,0.0330235,-0.887984
-0.00723,-0.1586526,2.88386,2.91903,-4.10534,0.00037,0,0,0,0.00836062,0.0330235,-0.887984
-0.00736,-0.1598296,2.88539,2.92416,-4.107,0.00039,0,0,0,0.00836062,0.0330235,-0.887984
-0.00754,-0.1597532,2.88771,2.93485,-4.10615,0.000401,0,0,0,0.00836062,0.0330235,-0.887984
-0.00767,-0.1606234,2.88926,2.94064,-4.1073,0.000421,0,0,0,0.00836062,0.0330235,-0.887984
-0.00787,-0.153503,2.89607,2.98654,-4.08636,0.000432,0,0,0,0.00836062,0.0330235,-0.887984
-0.008,-0.1662779,2.89012,2.9328,-4.12159,0.000452,0,0,0,0.00836062,0.0330235,-0.887984
-0.0082,-0.1616177,2.89536,2.96632,-4.10776,0.000462,0,0,0,0.00836062,0.0330235,-0.887984
-0.00834,-0.161754,2.89747,2.97619,-4.10664,0.000482,0,0,0,0.00836062,0.0330235,-0.887984
-0.00848,-0.164474,2.89797,2.9731,-4.11324,0.000502,0,0,0,0.00836062,0.0330235,-0.887984
-0.00863,-0.161837,2.90196,2.99722,-4.10425,0.000522,0,0,0,0.00836062,0.0330235,-0.887984
-0.00884,-0.158789,2.90603,3.0219,-4.09546,0.000533,0,0,0,0.00836062,0.0330235,-0.887984
-0.00899,-0.163545,2.90517,3.00848,-4.10768,0.000553,0,0,0,0.00836062,0.0330235,-0.887984
-0.00914,-0.162944,2.90788,3.02198,-4.10488,0.000572,0,0,0,0.00836062,0.0330235,-0.887984
-0.0093,-0.163783,2.90953,3.028,-4.10626,0.000593,0,0,0,0.00836062,0.0330235,-0.887984
-0.00946,-0.160468,2.91394,3.05533,-4.0955,0.000613,0,0,0,0.00836062,0.0330235,-0.887984
-0.00962,-0.180791,2.90321,2.96392,-4.15269,0.000633,0,0,0,0.00836062,0.0330235,-0.887984
-0.00978,-0.16604,2.91487,3.04832,-4.10927,0.000653,0,0,0,0.00836062,0.0330235,-0.887984
-0.00995,-0.176791,2.91022,3.00469,-4.13914,0.000673,0,0,0,0.00836062,0.0330235,-0.887984
-0.01012,-0.173342,2.91458,3.03196,-4.12843,0.000693,0,0,0,0.00836062,0.0330235,-0.887984
-0.01029,-0.173988,2.91615,3.03717,-4.13046,0.000686,0,0,0,0.00836062,0.0330235,-0.887984
-0.01047,-0.173118,2.91872,3.0509,-4.12718,0.000706,0,0,0,0.00836062,0.0330235,-0.887984
-0.01064,-0.180307,2.91637,3.02508,-4.147,0.000727,0,0,0,0.00836062,0.0330235,-0.887984
-0.01081,-0.18016,2.88826,2.8805,-4.22565,0.00072,0,0,0,0.00836062,0.0330235,-0.887984
