q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fx_foot,Fy_foot,Fz_foot,HR_q,HP_q,KP_q,HR_qdot,HP_qdot,KP_qdot,HR_q_d,HP_q_d,KP_q_d,HR_qdot_d,HP_qdot_d,KP_qdot_d,x,y,z,x_d,y_d,z_d
-0.00095,-0.0495548,-4E-06,2.83799,2.34449,-3.85446,0,0,0,0.000180468,1.82869,-1.39965,0.00288749,0.00282734,-0.0476436,0,1.82904,-1.4006,-4.13E-07,0.0324805,-0.0971984,-0.449404,0.100033,-0.183423,-0.449223,0.1,-0.183427
-0.00104,-0.0526097,-5E-06,2.83821,2.37149,-3.8621,0,0,0,0.000180468,1.82869,-1.39965,0.00270702,0.00276718,-0.0475233,0,1.82907,-1.40069,-4.25E-07,0.0334611,-0.100133,-0.449404,0.100033,-0.183423,-0.449203,0.1,-0.183428
-0.00109,-0.0530733,-2.2E-05,2.82696,2.34487,-3.89609,0,0,0,0.000180468,1.82875,-1.39971,0.00258671,0.0093242,-0.0499897,0,1.82911,-1.4008,-4.38E-07,0.0344408,-0.103063,-0.4494,0.100033,-0.183406,-0.449183,0.1,-0.183428
-0.00113,-0.0602112,-1.3E-05,2.78329,2.14266,-4.02192,0,0,0,0.000180468,1.82875,-1.39977,0.00252656,0.0305593,-0.0457788,0,1.82914,-1.4009,-4.5E-07,0.0354163,-0.10599,-0.449384,0.100033,-0.183415,-0.449162,0.1,-0.183428
-0.00118,-0.0648837,-3.2E-05,2.78322,2.16582,-4.03157,0,0,0,0.000180468,1.82881,-1.39983,0.00240624,0.0298976,-0.0440343,0,1.82918,-1.40101,-4.62E-07,0.036395,-0.108918,-0.449379,0.100033,-0.183397,-0.449141,0.1,-0.183429
-0.00129,-0.0689567,-3.2E-05,2.78105,2.17918,-4.04655,0,0,0,0.000180468,1.82881,-1.39983,0.00228593,0.0306796,-0.0428913,0,1.82922,-1.40112,-4.75E-07,0.0373741,-0.111848,-0.449379,0.100033,-0.183397,-0.449119,0.1,-0.183429
-0.00134,-0.073928,-5.1E-05,2.78089,2.20175,-4.05656,0,0,0,0.000180468,1.82887,-1.39989,0.00222578,0.0298976,-0.040846,0,1.82925,-1.40123,-4.87E-07,0.0383521,-0.114774,-0.449375,0.100033,-0.183379,-0.449096,0.1,-0.18343
-0.00146,-0.0776972,-5.1E-05,2.78567,2.2509,-4.05313,0,0,0,0.000180468,1.82887,-1.39989,0.00210546,0.0271906,-0.0400038,0,1.82929,-1.40135,-5E-07,0.0393304,-0.117701,-0.449375,0.100033,-0.183379,-0.449073,0.1,-0.18343
-0.00152,-0.0867541,-4.2E-05,2.78156,2.24656,-4.07807,0,0,0,0.000180468,1.82887,-1.39995,0.00204531,0.0273109,-0.0338679,0,1.82933,-1.40147,-5.12E-07,0.0403032,-0.120622,-0.449359,0.100033,-0.183389,-0.449049,0.1,-0.183431
-0.00158,-0.0897954,-6E-05,2.78361,2.28352,-4.08023,0,0,0,0.000180468,1.82893,-1.40001,0.00198515,0.0260476,-0.0337476,0,1.82937,-1.40159,-5.25E-07,0.0412799,-0.123543,-0.449354,0.100033,-0.183371,-0.449024,0.1,-0.183431
